stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\HENRY\source\repos\Conta-Strike\x64\Debug\allegro5.cfg r
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  99.50649] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.50728] removed dtor for bitmap 000002326F9952B0
d3d      D         d3d_disp.cpp:894  d3d_destroy_display_internals    [  99.50740] waiting for display 000002326F9BE020's thread to end
d3d      W         d3d_disp.cpp:603  d3d_destroy_device               [  99.51946] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1557 d3d_display_thread_proc          [  99.53845] d3d display thread exits
dtor     D               dtor.c:116  _al_run_destructors              [  99.54018] calling dtor for bitmap 0000023274855400, func 00007FFD2F911190
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.54053] removed dtor for bitmap 0000023274855400
dtor     D               dtor.c:116  _al_run_destructors              [  99.54112] calling dtor for bitmap 00000232746B8DF0, func 00007FFD2F911190
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.54143] removed dtor for bitmap 00000232746B8DF0
dtor     D               dtor.c:116  _al_run_destructors              [  99.54155] calling dtor for bitmap 00000232746698B0, func 00007FFD2F911190
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.54169] removed dtor for bitmap 00000232746698B0
dtor     D               dtor.c:116  _al_run_destructors              [  99.54225] calling dtor for bitmap 00000232746694C0, func 00007FFD2F911190
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.54258] removed dtor for bitmap 00000232746694C0
dtor     D               dtor.c:116  _al_run_destructors              [  99.54583] calling dtor for bitmap 00000232746696C0, func 00007FFD2F911190
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.54606] removed dtor for bitmap 00000232746696C0
dtor     D               dtor.c:116  _al_run_destructors              [  99.54842] calling dtor for ttf_font 0000023274642C30, func 00007FFD8391129E
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.54868] removed dtor for ttf_font 0000023274642C30
